ticker,valid_date,yes_settlement,nws_t24_forecast_high_f,nws_t24_forecast_low_f,nws_t24_precip_prob,nws_t24_humidity_pct,nws_t12_forecast_high_f,nws_t12_forecast_low_f,nws_t12_precip_prob,nws_t12_humidity_pct,nws_t6_forecast_high_f,nws_t6_forecast_low_f,nws_t6_precip_prob,nws_t6_humidity_pct,nws_t3_forecast_high_f,nws_t3_forecast_low_f,nws_t3_precip_prob,nws_t3_humidity_pct,ow_t24_forecast_high_f,ow_t24_forecast_low_f,ow_t24_precip_prob,ow_t24_humidity_pct,ow_t12_forecast_high_f,ow_t12_forecast_low_f,ow_t12_precip_prob,ow_t12_humidity_pct,ow_t6_forecast_high_f,ow_t6_forecast_low_f,ow_t6_precip_prob,ow_t6_humidity_pct,ow_t3_forecast_high_f,ow_t3_forecast_low_f,ow_t3_precip_prob,ow_t3_humidity_pct,day_of_year,month,clim_mean_high,clim_std_high
HIGHNY-24JAN13-B56.5,2024-01-14,0,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,14.0,1.0,39.0,8.0
HIGHNY-24JAN13-B54.5,2024-01-14,0,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,14.0,1.0,39.0,8.0
HIGHNY-24JAN13-T50,2024-01-14,0,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,14.0,1.0,39.0,8.0
HIGHNY-24JAN13-B50.5,2024-01-14,0,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,14.0,1.0,39.0,8.0
HIGHNY-24JAN13-B52.5,2024-01-14,0,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,14.0,1.0,39.0,8.0
HIGHNY-24JAN13-T57,2024-01-14,1,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,32.88,32.88,,,14.0,1.0,39.0,8.0
HIGHNY-24JAN14-B36.5,2024-01-15,0,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,15.0,1.0,39.0,8.0
HIGHNY-24JAN14-T36,2024-01-15,0,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,15.0,1.0,39.0,8.0
HIGHNY-24JAN14-B38.5,2024-01-15,0,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,15.0,1.0,39.0,8.0
HIGHNY-24JAN14-B40.5,2024-01-15,0,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,15.0,1.0,39.0,8.0
HIGHNY-24JAN14-B42.5,2024-01-15,0,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,15.0,1.0,39.0,8.0
HIGHNY-24JAN14-T43,2024-01-15,1,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,23.61,23.61,,,15.0,1.0,39.0,8.0
HIGHNY-24JAN15-T34,2024-01-16,0,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,16.0,1.0,39.0,8.0
HIGHNY-24JAN15-T27,2024-01-16,0,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,16.0,1.0,39.0,8.0
HIGHNY-24JAN15-B27.5,2024-01-16,0,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,16.0,1.0,39.0,8.0
HIGHNY-24JAN15-B29.5,2024-01-16,1,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,16.0,1.0,39.0,8.0
HIGHNY-24JAN15-B31.5,2024-01-16,0,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,16.0,1.0,39.0,8.0
HIGHNY-24JAN15-B33.5,2024-01-16,0,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,27.48,27.48,,,16.0,1.0,39.0,8.0
HIGHNY-24JAN16-B34.5,2024-01-17,0,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.0,1.0,39.0,8.0
HIGHNY-24JAN16-T30,2024-01-17,0,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.0,1.0,39.0,8.0
HIGHNY-24JAN16-T37,2024-01-17,0,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.0,1.0,39.0,8.0
HIGHNY-24JAN16-B30.5,2024-01-17,0,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.0,1.0,39.0,8.0
HIGHNY-24JAN16-B32.5,2024-01-17,1,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.0,1.0,39.0,8.0
HIGHNY-24JAN16-B36.5,2024-01-17,0,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.8,17.8,,,17.0,1.0,39.0,8.0
HIGHNY-24JAN17-T29,2024-01-18,0,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,18.0,1.0,39.0,8.0
HIGHNY-24JAN17-T22,2024-01-18,0,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,18.0,1.0,39.0,8.0
HIGHNY-24JAN17-B22.5,2024-01-18,0,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,18.0,1.0,39.0,8.0
HIGHNY-24JAN17-B26.5,2024-01-18,0,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,23.86,23.86,,,18.0,1.0,39.0,8.0
